dummy,DH_Type_II_Start,DH_Type_II_End,Max_Frequency,Min_Frequency,Flare_Loc,Flare_NOAA,Flare_Imp,CME_Date_Time,CME_CPA,CME_Width,CMA_Spd,Plots,Notes,,,,,,,,
0,9/25/2000 2:20,9/25/2000 3:00,14000,1000,N09W18,9169,M1.8,9/25/2000 2:50,Halo,360,587,PHTX,,,,,,,,,
0,10/16/2000 7:10,10/16/2000 8:00,14000,1000,N03W90,9182,M2.5,10/16/2000 7:27,Halo,360,1336,PHTX,,,,,,,,,
0,10/25/2000 9:30,10/26/2000 0:00,10000,300,N09W63,9199,C4.0,10/25/2000 8:26,Halo,360,770,PHTX,,,,,,,,,
0,11/3/2000 18:35,11/3/2000 18:45,4000,2500,N02W02,9213,C3.2,11/3/2000 18:26,Halo,360,291,PHTX,,,,,,,,,
0,11/8/2000 23:20,11/9/2000 12:00,4000,200,N10W77,9213,M7.4,11/8/2000 23:06,271,>170,1738,PHTX,,,,,,,,,
0,11/9/2000 16:15,11/11/2000 4:00,10000,40,S11E10,9221,M1.0,----,----,----,----,PHTX,CME_not_measurable_due_to_the_Snow_Storm,,,,,,,,
0,11/12/2000 14:25,11/12/2000 14:40,3000,2000,S14E05,9227,C4.4,11/12/2000 14:50,257,50,581,PHTX,,,,,,,,,
0,11/23/2000 8:16,11/23/2000 8:35,14000,9000,S26W40,9238,C5.4,11/23/2000 6:06,Halo,360,492,PHTX,,,,,,,,,
0,11/23/2000 21:00,11/23/2000 21:06,3500,3000,S20E60,9239,C7.9,11/23/2000 21:30,124,148,1198,PHTX,,,,,,,,,
0,11/24/2000 5:10,11/24/2000 15:00,14000,100,N20W05,9236,X2.0,11/24/2000 5:30,Halo,360,1289,PHTX,,,,,,,,,
0,11/24/2000 15:25,11/24/2000 22:00,14000,200,N22W07,9236,X2.3,11/24/2000 15:30,Halo,360,1245,PHTX,,,,,,,,,
0,11/24/2000 22:24,11/24/2000 22:36,4000,3000,N21W14,9236,X1.8,11/24/2000 22:06,Halo,360,1005,PHTX,,,,,,,,,
0,11/25/2000 1:25,11/25/2000 2:25,14000,3000,N07E50,9240,M8.2,11/25/2000 1:31,Halo,360,2519,PHTX,,,,,,,,,
0,11/25/2000 19:00,11/25/2000 19:35,6000,2000,N20W23,9236,X1.9,11/25/2000 19:31,Halo,360,671,PHTX,,,,,,,,,
0,11/25/2000 19:55,11/25/2000 20:25,13000,4000,N20W27,9236,----,11/25/2000 21:30,345,59,388,PHTX,,,,,,,,,
0,11/26/2000 17:00,11/26/2000 17:15,14000,7000,N18W38,9236,X4.0,11/26/2000 17:06,Halo,360,980,PHTX,,,,,,,,,
0,12/28/2000 12:40,12/28/2000 13:38,14000,1900,Back,-----,----,12/28/2000 12:06,Halo,360,930,PHTX,,,,,,,,,
0,1/20/2001 19:12,1/20/2001 19:16,14000,6000,S07E40,9313,M1.2,1/20/2001 19:31,Halo,360,839,PHTX,,,,,,,,,
0,1/20/2001 21:30,1/21/2001 0:00,14000,500,S07E46,9313,M7.7,1/20/2001 21:30,Halo,360,1507,PHTX,,,,,,,,,
0,1/26/2001 12:06,1/26/2001 14:20,14000,400,S23W57,9320,C1.6,1/26/2001 12:06,276,176,928,PHTX,,,,,,,,,
